BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, InlineBackupTime(ms), OfflineBackupTime(ms)
144, 165.408, 6.68665, 5.19954, 1159751680, 6309475578, 6160757153, 1018.95, 326.994, 18.7061, 231.899, 11602.1, 
145, 167.192, 6.6154, 5.20924, 1159772160, 6319003672, 6170835293, 1046.43, 331.922, 18.8635, 230.254, 12397.3, 
146, 165.878, 6.66796, 5.21917, 1159792640, 6328934426, 6181181602, 1076.07, 336.984, 19.0195, 250.84, 13008.8, 
147, 167.466, 6.60487, 5.22853, 1159823360, 6339612991, 6191029091, 1056.24, 341.844, 19.1766, 252.702, 13232.8, 
148, 165.661, 6.67704, 5.23825, 1159854080, 6350419547, 6201078322, 1081.04, 346.805, 19.3326, 290.126, 13469.1, 
149, 167.82, 6.59147, 5.24727, 1159915520, 6360865549, 6212316470, 1123.14, 351.981, 19.4843, 240.198, 13779, 
150, 168.507, 6.56459, 5.256, 1159915520, 6374213662, 6341929057, 1124.73, 357.098, 19.269, 256.242, 14444.2, 
151, 149.439, 7.75433, 5.27243, 1215088640, 6560665467, 6339554416, 1121.67, 362.128, 19.4679, 261.735, 14934.2, 
152, 169.917, 6.81997, 5.28255, 1215119360, 6501891684, 6351804958, 1066.91, 366.735, 19.6216, 231.771, 17803.1, 
153, 171.354, 6.76288, 5.29216, 1215139840, 6513169314, 6360723507, 1110.64, 371.565, 19.7852, 267.815, 14284.8, 
154, 171.03, 6.77581, 5.30173, 1215160320, 6515237615, 6370404497, 1081.03, 376.142, 19.9459, 237.653, 14080.4, 
155, 173.121, 6.69414, 5.31066, 1215191040, 6531103532, 6381594820, 1122.89, 380.929, 20.1013, 217.397, 13905.9, 
156, 173.473, 6.68071, 5.31938, 1215221760, 6543623890, 6389714806, 1181.83, 386.03, 20.2659, 245.734, 15591.5, 
157, 171.646, 6.75201, 5.32845, 1215252480, 6550945750, 6399300674, 1187.48, 391.103, 20.4255, 237.804, 15825.7, 
158, 171.664, 6.75145, 5.3374, 1215283200, 6559135753, 6530243510, 1201.63, 396.201, 20.202, 228.171, 16003.2, 
159, 153.462, 7.88592, 5.35333, 1268971520, 6753532010, 6528610504, 1193.7, 401.185, 20.4014, 258.667, 16475.1, 
160, 173.221, 6.98665, 5.36347, 1269022720, 6690345727, 6533472393, 1196.97, 406.128, 20.5805, 305.759, 22014, 
161, 172.803, 7.00373, 5.3736, 1269053440, 6692253981, 6541593383, 1183.82, 410.928, 20.7489, 315.421, 15810.2, 
162, 175.269, 6.90551, 5.383, 1269114880, 6703639729, 6554755159, 1203.07, 415.788, 20.9009, 229.309, 15480.8, 
163, 175.573, 6.8937, 5.39221, 1269145600, 6716362967, 6565798479, 1236.16, 420.79, 21.059, 246.086, 16637.5, 
164, 174.278, 6.94519, 5.40162, 1269186560, 6727253637, 6573781950, 1228.55, 425.686, 21.2265, 260.513, 17052.3, 
165, 174.303, 6.94457, 5.41091, 1269258240, 6728791525, 6582002641, 1222.65, 430.487, 21.3929, 278.276, 17584.2, 
166, 174.601, 6.93293, 5.42003, 1269299200, 6744922222, 6594429261, 1283.18, 435.593, 21.545, 276.052, 16356.4, 
167, 175.044, 6.91538, 5.42893, 1269299200, 6758253053, 6737126751, 1306.04, 440.774, 21.2771, 288.827, 18876.5, 
168, 154.99, 8.2461, 5.4456, 1340149760, 6964657634, 6871487960, 1323.33, 445.996, 21.0561, 293.52, 18950.9, 
169, 178.036, 7.17929, 5.4558, 1340262400, 7036432193, 6900915947, 1275.18, 450.874, 21.1605, 259.174, 26037.6, 
170, 175.099, 7.29993, 5.46658, 1340303360, 7061324264, 6919987784, 1239.23, 455.484, 21.2959, 357.02, 20796.9, 
171, 177.146, 7.21579, 5.47675, 1340344320, 7082827299, 6936730731, 1306.89, 460.434, 21.4377, 351.46, 20112.9, 
172, 175.301, 7.29192, 5.48724, 1340375040, 7095329433, 6949139798, 1248.77, 464.991, 21.5923, 340.523, 21342.6, 
173, 176.927, 7.2249, 5.49723, 1340375040, 7108985591, 6960977267, 1297.8, 469.777, 21.7481, 316.699, 20379.8, 
174, 176.236, 7.25334, 5.50727, 1340395520, 7126398969, 6974856575, 1377.94, 474.967, 21.897, 302.465, 21870.3, 
175, 176.753, 7.23224, 5.51707, 1340416000, 7136066417, 7021907137, 1329.98, 479.825, 21.9412, 345.989, 24060.2, 
176, 160.011, 8.09363, 5.53162, 1357977600, 7240645071, 7071676956, 1401.19, 485.03, 21.9788, 329.361, 23381.2, 
177, 176.721, 7.32847, 5.54172, 1358008320, 7229569271, 7083900126, 1294.58, 489.578, 22.1326, 377.196, 27385.2, 
178, 178.166, 7.26944, 5.55137, 1358080000, 7250888145, 7098658650, 1350.19, 494.386, 22.2779, 327.877, 20699.5, 
179, 176.194, 7.3512, 5.56137, 1358151680, 7263659165, 7109410984, 1387.12, 499.346, 22.4352, 362.381, 24337.2, 
180, 176.87, 7.32338, 5.5711, 1358202880, 7276464769, 7122921978, 1483.1, 504.781, 22.5834, 320.752, 22688.4, 
181, 175.169, 7.39471, 5.58112, 1358243840, 7284133629, 7132919389, 1467.23, 510.069, 22.7421, 322.036, 24920.7, 
182, 172.481, 7.51012, 5.59166, 1358274560, 7299284371, 7143824029, 1500.64, 515.482, 22.8975, 334.417, 23141.1, 
183, 168.622, 7.68212, 5.60303, 1358295040, 7300677611, 7154407538, 1408.61, 520.336, 23.0535, 307.53, 25186.7, 
184, 172.597, 7.50533, 5.61331, 1358325760, 7325873444, 7227804674, 1475.26, 525.498, 23.0074, 315.057, 22060.8, 
185, 154.535, 8.45977, 5.62861, 1370839040, 7452162533, 7271501071, 1518.81, 530.838, 23.0576, 333.668, 27934, 
186, 173.845, 7.52021, 5.63873, 1370859520, 7431294767, 7282868188, 1408.21, 535.53, 23.2099, 367.141, 32283.9, 
187, 177.05, 7.3848, 5.64802, 1370992640, 7450591339, 7292831265, 1445.42, 540.37, 23.3661, 308.147, 23284.5, 
188, 177.977, 7.34647, 5.657, 1371013120, 7459894232, 7306266355, 1468.97, 545.283, 23.5108, 313.559, 24881, 
189, 178.497, 7.32528, 5.66578, 1371054080, 7471397874, 7324334135, 1457.32, 550.083, 23.64, 331.573, 24957.7, 
190, 178.558, 7.32294, 5.67446, 1371084800, 7491308730, 7332163311, 1512.38, 555.121, 23.8018, 350.704, 25318.9, 
191, 173.692, 7.52829, 5.68411, 1371125760, 7497922150, 7341028245, 1563.77, 560.375, 23.9598, 359.249, 26598.1, 
192, 173.715, 7.52747, 5.69366, 1371156480, 7506505783, 7352578736, 1540.86, 565.455, 24.1087, 338.684, 26185, 
193, 178.595, 7.32192, 5.70206, 1371176960, 7521957719, 7440032412, 1575.3, 570.66, 24.0096, 338.441, 26276.8, 
194, 157.392, 8.34253, 5.7156, 1376829440, 7660578175, 7469252663, 1525.23, 575.556, 24.1, 318.443, 29052.5, 
195, 175.552, 7.47164, 5.72456, 1375375360, 7635829213, 7477198727, 1543.02, 580.492, 24.2583, 335.136, 32338.6, 
196, 175.81, 7.46079, 5.73337, 1375395840, 7641631830, 7489798403, 1516.3, 585.242, 24.4011, 341.937, 28004.8, 
197, 168.384, 7.79033, 5.74376, 1375488000, 7664906745, 7514814423, 1535.68, 590.042, 24.5029, 347.574, 26440.4, 
198, 178.756, 7.33841, 5.75177, 1375508480, 7676875214, 7520605961, 1540.9, 594.82, 24.667, 292.878, 28084.1, 
199, 179.071, 7.32569, 5.75964, 1375539200, 7689216787, 7530229783, 1633.75, 600.015, 24.8181, 304.922, 26430.9, 
200, 179.591, 7.30467, 5.76733, 1375580160, 7696824063, 7541200481, 1610.98, 605.045, 24.9644, 299.369, 29419.6, 
201, 179.979, 7.28898, 5.77486, 1375590400, 7708050468, 7639921334, 1626.69, 610.102, 24.8219, 317.75, 27648.5, 
202, 159.525, 8.35656, 5.78758, 1397831680, 7863463745, 7660078090, 1661.24, 615.28, 24.9391, 332.298, 28860.1, 
203, 179.108, 7.44297, 5.7957, 1397852160, 7827126668, 7667141852, 1585.04, 620.034, 25.0984, 274.742, 36229.7, 
204, 176.637, 7.54741, 5.80424, 1397913600, 7835352834, 7679816501, 1615.25, 624.889, 25.239, 291.737, 27303.8, 
