BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, SelectOptimalBaseTime(s)
184,41.1855,31.4528,16.0436,1358325760,7331035883,7331035883,2.40E-05,2.47E-05,22.6834, -nan
185,40.1958,32.5241,16.1322,1370839040,7395267598,7395267598,2.70E-05,2.47E-05,22.6717, -nan
186,42.2896,30.9143,16.2112,1370859520,7417346092,7417346092,2.20E-05,2.47E-05,22.7891, -nan
187,41.369,31.6053,16.2931,1370992640,7437414470,7437414470,3.00E-05,2.47E-05,22.9119, -nan
188,40.3687,32.3889,16.3783,1371013120,7458065136,7458065136,2.50E-05,2.47E-05,23.0323, -nan
189,40.4651,32.3127,16.4621,1371054080,7480316563,7480316563,2.30E-05,2.47E-05,23.1471, -nan
190,40.4105,32.3572,16.5453,1371084800,7499542263,7499542263,2.10E-05,2.47E-05,23.2706, -nan
191,39.857,32.8075,16.63,1371125760,7518256805,7518256805,2.10E-05,2.47E-05,23.395, -nan
192,39.7423,32.9029,16.7144,1371156480,7537867126,7537867126,2.90E-05,2.47E-05,23.516, -nan
193,40.2205,32.5122,16.7958,1371176960,7558316963,7558316963,2.70E-05,2.47E-05,23.6338, -nan
194,37.6526,34.8727,16.8885,1376829440,7618948475,7618948475,2.80E-05,2.47E-05,23.6265, -nan
195,41.252,31.7963,16.9646,1375375360,7640805289,7640805289,2.50E-05,2.47E-05,23.7389, -nan
196,40.6491,32.2683,17.0422,1375395840,7661906095,7661906095,2.90E-05,2.47E-05,23.853, -nan
197,40.2206,32.6143,17.1209,1375488000,7688885841,7688885841,3.10E-05,2.48E-05,23.9482, -nan
198,39.212,33.4537,17.203,1375508480,7707652724,7707652724,2.20E-05,2.48E-05,24.0684, -nan
199,39.2284,33.4405,17.2842,1375539200,7726707484,7726707484,2.30E-05,2.47E-05,24.187, -nan
200,39.3166,33.3664,17.3642,1375580160,7745797808,7745797808,2.50E-05,2.47E-05,24.305, -nan
201,39.1299,33.5259,17.4442,1375590400,7766434906,7766434906,3.00E-05,2.48E-05,24.4175, -nan
202,38.1981,34.899,17.5302,1397831680,7826376721,7826376721,2.70E-05,2.48E-05,24.4091, -nan
203,40.7884,32.6832,17.6044,1397852160,7848822210,7848822210,2.50E-05,2.48E-05,24.5174, -nan
204,39.8488,33.4553,17.6818,1397913600,7869607662,7869607662,3.00E-05,2.48E-05,24.6303, -nan
205,39.5233,33.7321,17.7597,1397964800,7889801473,7889801473,2.10E-05,2.48E-05,24.7445, -nan
206,39.5765,33.688,17.8366,1398016000,7909338950,7909338950,2.70E-05,2.48E-05,24.8601, -nan
207,38.5003,34.6306,17.9174,1398056960,7928042042,7928042042,2.40E-05,2.48E-05,24.9778, -nan
208,38.887,34.2873,17.9957,1398097920,7948607722,7075453515,11621.1,55.6036,28.1852,6705.25
