Backup ID,Backup Size(MB),dataTranTime(us/MB),fpTime(ms/MB),freqTime(ms/MB),firstDedupTime(ms/MB),secondDedupTime(ms/MB),total_dedupTime(ms/MB),sfTime(ms/MB),checkTime(ms/MB),lz4compressTime(ms/MB),deltacompressTime(ms/MB),encTime(ms/MB),Total size(MB)
6,8191,0.192333,0.85586,0.00102683,0.0105496,0.0289036,0.89634,0.328813,0.0101266,0.0371756,0.0518273,0.0104263,57337.000000
7,8191,0.19303,0.855286,0.000641886,0.0106758,0.0276369,0.894241,0.317732,0.009993,0.0343313,0.0505594,0.00998202,65528.000000
8,8191,0.193612,0.854758,0.000308805,0.0108048,0.0265583,0.89243,0.307817,0.00989221,0.0321204,0.0498725,0.0095869,73719.000000
9,8191,0.194335,0.854049,-0.000285545,0.0109315,0.0255495,0.890245,0.298577,0.00981019,0.0302419,0.0490245,0.00921777,81910.000000
10,8191,0.194684,0.854017,-0.000421026,0.0110902,0.0253455,0.890032,0.297959,0.00984247,0.0290255,0.0493307,0.00912794,90101.000000
11,8191,0.19326,0.854116,-0.000204415,0.0111518,0.0246866,0.88975,0.290812,0.00977546,0.0276216,0.0487309,0.00887742,98292.000000
12,8191,0.193634,0.854051,-0.000404446,0.0112789,0.0242911,0.889217,0.287475,0.00976964,0.0265852,0.0486232,0.00872552,106483.000000
13,8191,0.193776,0.853896,-0.00040431,0.0114525,0.0246642,0.889608,0.288896,0.00983396,0.0258513,0.0490533,0.00873363,114674.000000
14,8191,0.192654,0.853957,-0.00024151,0.0115792,0.0243288,0.889624,0.286356,0.00984145,0.0250624,0.0491212,0.00862371,122865.000000
15,8191,0.192892,0.8538,-0.000331105,0.0117514,0.0240049,0.889225,0.284054,0.00985221,0.0243641,0.0506903,0.00851922,131056.000000
16,8191,0.191981,0.853937,-0.000205762,0.0119261,0.0239635,0.889621,0.284626,0.00985682,0.0238224,0.0513246,0.00851791,139247.000000
17,8191,0.191241,0.854184,1.83425e-05,0.0121408,0.0240015,0.890345,0.285842,0.00987904,0.0233732,0.051897,0.00853875,147438.000000
18,8191,0.190524,0.854215,3.95974e-05,0.0123242,0.023909,0.890488,0.285773,0.00988411,0.0229508,0.0521495,0.00851438,155629.000000
19,8191,0.190802,0.854022,-7.01906e-05,0.0124977,0.0237235,0.890173,0.284473,0.00987187,0.0224517,0.052303,0.00844919,163820.000000
0,8191,0.201364,0.852767,0.000397559,0.0109696,0.10431,0.968445,1.1125,0.0202169,0.178365,0.132971,0.0383646,8191.000000
1,8191,0.190626,0.85641,0.00370551,0.0111195,0.0593273,0.930562,0.631647,0.0141526,0.0953201,0.0886427,0.0215771,16382.000000
2,8191,0.18922,0.856149,0.00319021,0.0108559,0.0453854,0.91558,0.49174,0.0124651,0.0686117,0.0732925,0.016424,24573.000000
3,8191,0.190763,0.854776,0.00304126,0.0107108,0.037574,0.906102,0.411925,0.0114962,0.0546078,0.0648976,0.0135185,32764.000000
4,8191,0.188961,0.855001,0.00263074,0.0107416,0.0338577,0.902231,0.370537,0.0110488,0.046529,0.0604604,0.0119922,40955.000000
5,8191,0.187496,0.856203,0.00354685,0.0108765,0.0317474,0.902373,0.350661,0.0108452,0.0414437,0.0598377,0.0112454,49146.000000
6,8191,0.188666,0.856238,0.00369284,0.0109913,0.029564,0.900486,0.329147,0.010564,0.037541,0.057984,0.010457,57337.000000
7,8191,0.189015,0.855563,0.00329167,0.0111011,0.0282834,0.89824,0.318053,0.0104156,0.0346652,0.0565339,0.0100291,65528.000000
8,8191,0.187947,0.855652,0.00329539,0.0112334,0.0272266,0.897408,0.308155,0.0103062,0.0324452,0.0556323,0.00966059,73719.000000
9,8191,0.187509,0.856015,0.00350643,0.0113463,0.0263114,0.897179,0.298945,0.0102105,0.0305703,0.0547423,0.0093269,81910.000000
10,8191,0.188405,0.855244,0.00301814,0.011533,0.0260438,0.895839,0.298286,0.0102332,0.0292986,0.0550313,0.00922519,90101.000000
11,8191,0.189139,0.854909,0.00256212,0.0116656,0.0253075,0.894444,0.291137,0.0101701,0.0278641,0.054381,0.00895852,98292.000000
12,8191,0.188453,0.855161,0.00274728,0.0118103,0.0249731,0.894692,0.287836,0.0101659,0.0268408,0.0541467,0.00882981,106483.000000
13,8191,0.188982,0.85493,0.00251501,0.0120215,0.0253195,0.894786,0.28927,0.0102401,0.0260845,0.0547155,0.00882717,114674.000000
14,8191,0.189581,0.85452,0.00234087,0.0122032,0.0249436,0.894008,0.286708,0.0102566,0.0252778,0.0548762,0.00870844,122865.000000
15,8191,0.189024,0.854806,0.00246471,0.0123735,0.0246418,0.894286,0.284434,0.0102671,0.0245787,0.0565284,0.00860828,131056.000000
16,8191,0.188491,0.855049,0.00272636,0.0125813,0.0246329,0.894989,0.285007,0.0102755,0.0240418,0.0572209,0.00862219,139247.000000
17,8191,0.188544,0.854545,0.00235622,0.0127954,0.0245869,0.894283,0.286163,0.0102934,0.0235617,0.057771,0.00861928,147438.000000
18,8191,0.188616,0.854622,0.00248838,0.0130041,0.0245156,0.89463,0.286096,0.0103014,0.0231367,0.0581079,0.00860116,155629.000000
19,8191,0.188996,0.85432,0.00219175,0.0132043,0.0243155,0.894032,0.284796,0.0102887,0.0226269,0.0582844,0.00853411,163820.000000
0,8191,0.179008,0.852857,-0.00148855,0.0105665,0.102995,0.964929,1.11232,0.0194404,0.178551,0.122374,0.0385164,8191.000000
1,8191,0.186864,0.849176,-0.00359265,0.0105729,0.0568299,0.912986,0.630909,0.013591,0.0948552,0.0792748,0.0210933,16382.000000
2,8191,0.187311,0.850634,-0.0019761,0.0102725,0.0438974,0.902828,0.491346,0.0119871,0.0683969,0.0654847,0.0161998,24573.000000
