Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size
154,5.03938,0,0,5978953910,5818797792,89308297,83926811,233738,15660073,6701986,536158880,241580672,344511168,715632858,193439232,127063173120
155,5.02646,0,0,5990014011,5830464353,91088212,85655981,236838,15813466,6755848,540467840,242070208,347759040,729887678,195117888,128278364160
156,5.00816,0,0,6000881574,5839499824,92925450,87442200,239878,15966845,6809497,544759760,242463424,351024256,744600782,196798112,129493585920
157,4.99703,0,0,6009767727,5849283941,94782258,89248048,242946,16120231,6863110,549048800,242857920,354285760,759470586,198476128,130708838400
158,4.9898,0,0,6019487062,5866062142,96652925,91068085,246059,16273635,6916796,553343680,243331200,357526144,774451487,200146784,131924121600
159,5.76745,0,0,6091067857,5933235976,98447961,92811372,251719,16432672,6986179,558894320,246568640,360838848,788840059,201926304,133193093120
160,5.28216,0,0,6106482287,5946548595,100267177,94579567,254865,16591717,7040759,563260720,247138496,364104256,803409509,203761024,134462115840
161,5.10647,0,0,6119048439,5956880831,102128813,96389711,257900,16750765,7095152,567612160,247582784,367399744,818317764,205476384,135731169280
162,5.10888,0,0,6130090551,5970319452,103988747,98198714,261139,16909823,7149735,571978800,248165184,370659392,833213431,207162848,137000284160
163,5.18162,0,0,6142839329,5981327970,105901012,100059683,264307,17068894,7204162,576332960,248665024,373942400,848527391,208855456,138269429760
164,5.16582,0,0,6153935288,5990562498,107867822,101974606,267172,17227987,7258637,580690960,249047296,377263232,864276196,210562752,139538616320
165,5.16719,0,0,6163775652,5998986511,109875136,103929546,269996,17387065,7313186,585054880,249355392,380615168,880348828,212283040,140807874560
166,5.13254,0,0,6171587286,6010424350,111905086,105907795,273076,17546148,7367606,589408480,249772544,383924096,896603828,213977280,142077173760
167,5.12688,0,0,6182530174,6026491894,113952084,107903421,276235,17705238,7421960,593756800,250231680,387212032,912995607,215662464,143346472960
168,5.92031,0,0,6255765682,6103912144,115898852,109797345,282064,17871608,7493103,599448240,253554880,390594496,928598864,217488192,144686622720
169,5.32827,0,0,6279619745,6119550560,117855673,111702649,285652,18038000,7548575,603886000,254199872,393891584,944271372,219346144,146026885120
170,5.3069,0,0,6294771742,6131163015,119851058,113645802,288908,18204393,7603892,608311360,254677120,397234432,960250732,221089600,147367188480
171,5.28741,0,0,6305816379,6142505383,121874853,115617378,292311,18370801,7659113,612729040,255139584,400576448,976458107,222815136,148707532800
172,5.30888,0,0,6317227425,6152405874,123927152,117617224,295390,18537208,7714323,617145840,255560320,403933440,992891894,224546400,150047907840
173,5.44967,0,0,6326382248,6161812638,126036581,119674056,298350,18703598,7769365,621549200,255922304,407299648,1009782126,226276544,151388282880
174,5.38075,0,0,6336724548,6173218941,128170551,121755651,301894,18870016,7824654,625972320,256368256,410651904,1026871606,227992256,152728678400
175,5.33457,0,0,6347583218,6186901771,130313179,123846410,305350,19036431,7879855,630388400,256891712,413971584,1044029910,229697696,154069094400
176,5.85092,0,0,6408622406,6245221547,132399667,125879132,311347,19204970,7947283,635782640,259398528,417413120,1060751799,231531488,155427072000
177,5.48621,0,0,6422309389,6258201764,134509365,127936216,314572,19373528,8003233,640258640,259935680,420780416,1077645508,233397344,156785080320
178,5.39141,0,0,6434806956,6271475446,136643933,130018323,318220,19542094,8059071,644725680,260477696,424138048,1094740292,235137696,158143160320
179,5.35768,0,0,6447813987,6282478599,138816992,132138516,321541,19710653,8114829,649186320,260918016,427521600,1112141369,236882464,159501312000
180,5.36597,0,0,6459087296,6294370554,141017575,134286521,325073,19879237,8170643,653651440,261419840,430886720,1129763693,238615904,160859514880
181,5.42005,0,0,6470548203,6304809264,143264384,136480275,328345,20047806,8226364,658109120,261828608,434282240,1147754525,240361920,162217758720
182,5.39195,0,0,6480939788,6314097167,145552525,138715170,331484,20216370,8282043,662563440,262188928,437689984,1166075348,242110784,163576033280
183,5.35012,0,0,6489642700,6323701605,147861970,140971355,334605,20384950,8337612,667008960,262521152,441098624,1184566513,243857376,164934328320
184,5.39279,0,0,6499943070,6339952993,150158412,143215441,338731,20553560,8393455,671476400,263085376,444449536,1202958679,245579776,166292654080
185,6.04646,0,0,6565824715,6407242628,152354073,145358788,345031,20723675,8462678,677014240,266194624,447798464,1220555459,247371904,167663493120
186,5.4356,0,0,6584704658,6421378991,154601316,147553401,348514,20893798,8519013,681521040,266783296,451166912,1238550818,249248640,169034352640
187,5.4093,0,0,6598887202,6430706077,156891602,149790281,351727,21063940,8575207,686016560,267195264,454585024,1256889171,251026976,170405345280
188,5.38234,0,0,6608728594,6444198897,159188343,152033927,355612,21234087,8631553,690524240,267692480,457983104,1275282524,252782208,171776358400
189,5.4682,0,0,6622585970,6458908269,161515631,154308313,359188,21404307,8688071,695045680,268292992,461368960,1293918708,254527200,173147412480
190,5.72124,0,0,6636241054,6467245133,163907037,156646226,362760,21574459,8744241,699539280,268685888,464792576,1313067816,256285280,174518497280
191,5.44873,0,0,6645079867,6476076577,166332161,159017562,366055,21744621,8800529,704042320,269059136,468235008,1332485283,258049344,175889623040
192,5.44723,0,0,6653885116,6488853497,168773195,161405089,369599,21914791,8856854,708548320,269494976,471659456,1352031275,259806368,177260779520
193,5.44959,0,0,6666064102,6502849166,171239912,163818708,373512,22084968,8913055,713044400,269970560,475057792,1371784576,261557312,178631956480
194,5.91014,0,0,6725122070,6568068825,173466377,165992772,380423,22255865,8980604,718448320,272733248,478411776,1389630843,263346944,180008785920
195,5.46885,0,0,6746048648,6581369476,175815047,168288699,384020,22426581,9037002,722960160,273337408,481787456,1408438180,265230144,181384161280
196,5.4908,0,0,6760197001,6593846341,178202423,170622719,387609,22597302,9093587,727486960,273834304,485202304,1427555133,267009632,182759557120
197,5.48456,0,0,6776459268,6619614541,180571999,172939498,391671,22768161,9151442,732115360,274674816,488581760,1446532011,268759712,184135045120
198,5.51052,0,0,6797294638,6621671480,183045492,175359195,394838,22938889,9207764,736621120,275049344,492024768,1466335790,270530368,185510553600
199,5.4835,0,0,6799626216,6631533436,185548863,177808934,398334,23109615,9264109,741128720,275451776,495457344,1486380238,272287744,186886092800
200,5.63449,0,0,6809238498,6642427614,188047960,180254400,401901,23280342,9320425,745634000,275851136,498889728,1506390849,274053408,188261672960
201,5.42182,0,0,6819776050,6656966202,190603485,182756506,405725,23451071,9376713,750137040,276299712,502308544,1526854169,275808864,189637263360
202,6.03906,0,0,6882340141,6720104641,193065957,185164355,412168,23624353,9445834,755666720,278945792,505805120,1546586160,277676800,191035095040
203,5.597,0,0,6899743924,6733494987,195519549,187565077,415784,23797633,9502769,760221520,279606912,509188800,1566232976,279554912,192432947200
204,5.52886,0,0,6913679841,6744628525,198033183,190024792,419555,23970923,9559830,764786400,280096384,512639872,1586360895,281346208,193830860800
205,5.53836,0,0,6924044119,6756879632,200568390,192506120,423412,24144207,9616711,769336880,280548608,516088192,1606661836,283124832,195228825600
