Backup ID,Backup Size(MB),dataTranTime(us/MB),fpTime(ms/MB),freqTime(ms/MB),firstDedupTime(ms/MB),secondDedupTime(ms/MB),total_dedupTime(ms/MB),sfTime(ms/MB),checkTime(ms/MB),lz4compressTime(ms/MB),deltacompressTime(ms/MB),encTime(ms/MB),Total size(MB)
14,498.467,0.203616,0.905513,0.0277142,0.075379,0.409333,1.41794,3.86589,0.0869708,0.603261,0.633869,0.135386,5497.421875
15,498.555,0.201762,0.905559,0.0278884,0.0754348,0.394931,1.40381,3.72861,0.0852902,0.577752,0.619167,0.130182,5995.976562
16,368.594,0.200634,0.905405,0.0279256,0.0769002,0.402494,1.41272,3.81819,0.0883053,0.592533,0.618275,0.13235,6364.570312
17,366.436,0.201541,0.904478,0.0272522,0.0765936,0.390012,1.39834,3.71255,0.0868028,0.573097,0.598143,0.127903,6731.005859
18,366.455,0.200459,0.905097,0.027887,0.0781175,0.383068,1.39417,3.58691,0.0844423,0.555225,0.582814,0.123827,7097.460938
19,358.242,0.199476,0.905212,0.0280014,0.0785815,0.371053,1.38285,3.47212,0.082367,0.538012,0.571008,0.119971,7455.703125
0,357.461,0.184546,0.904246,0.0235368,0.0614585,0.89704,1.88628,8.77396,0.100635,1.64416,0.8349,0.334768,357.460938
1,349.277,0.20587,0.908136,0.0229172,0.0672201,0.633883,1.63216,6.18203,0.0952927,1.01862,0.73672,0.223689,706.738281
2,350.332,0.197612,0.905365,0.0227085,0.0675092,0.543929,1.53951,5.25999,0.0929238,0.809793,0.714584,0.186546,1057.070312
3,352.09,0.193902,0.901272,0.0196772,0.0685408,0.495323,1.48481,4.75538,0.0924018,0.691188,0.696206,0.165606,1409.160156
4,351.504,0.191741,0.904279,0.0231209,0.068907,0.461886,1.45819,4.38852,0.0906306,0.627259,0.667898,0.154924,1760.664062
5,288.975,0.195815,0.904362,0.023655,0.069905,0.449373,1.4473,4.26071,0.0908443,0.604858,0.674879,0.151059,2049.638672
6,475.41,0.201678,0.902695,0.0226425,0.0741605,0.531481,1.53098,5.03052,0.0984064,0.806551,0.722469,0.179274,2525.048828
7,333.418,0.204082,0.90289,0.0235951,0.0767936,0.558405,1.56168,5.35029,0.105815,0.852991,0.772942,0.188047,2858.466797
8,350.195,0.204881,0.903089,0.0240871,0.0793568,0.569877,1.57641,5.49704,0.110509,0.870781,0.816874,0.191424,3208.662109
9,350.195,0.203822,0.906197,0.0272817,0.0757895,0.51495,1.52422,4.9568,0.100553,0.785411,0.739365,0.172959,3558.857422
10,360.557,0.205649,0.906345,0.0268951,0.0759198,0.481917,1.49108,4.63894,0.0952635,0.735079,0.703957,0.161926,3919.414062
11,297.832,0.203848,0.906292,0.0270803,0.0758395,0.458897,1.46811,4.40645,0.0914293,0.697906,0.68192,0.153951,4217.246094
12,297.686,0.202343,0.905966,0.0270705,0.0769174,0.452921,1.46287,4.33934,0.0915219,0.683473,0.681704,0.152154,4514.931641
13,484.023,0.200272,0.905229,0.0262889,0.0750191,0.413428,1.41996,3.95912,0.0851202,0.62054,0.63406,0.138608,4998.955078
14,498.467,0.201767,0.905635,0.0271434,0.0755096,0.404845,1.41313,3.85653,0.0847257,0.594758,0.631786,0.134689,5497.421875
15,498.555,0.200141,0.906756,0.0282682,0.0755585,0.392014,1.4026,3.72016,0.0831986,0.5699,0.618952,0.129881,5995.976562
16,368.594,0.200587,0.906456,0.0281821,0.0770911,0.399716,1.41145,3.80979,0.0861417,0.585113,0.617204,0.132086,6364.570312
17,366.436,0.199514,0.906295,0.0282992,0.0766462,0.388363,1.3996,3.70485,0.0846783,0.56659,0.597882,0.12795,6731.005859
18,366.455,0.198567,0.905836,0.0278996,0.0781846,0.380492,1.39241,3.57914,0.0824095,0.548703,0.58195,0.123513,7097.460938
19,358.242,0.197761,0.90575,0.0277471,0.0786208,0.36831,1.38043,3.4645,0.0804041,0.531668,0.570559,0.119528,7455.703125
